model,model_key,active_params_B,architecture,topic,openalex_works,n_refs,title_match_rate,relevance,title_quality
Gemma 3 12B,gemma_3_12b,12,dense,Democratic elections,48258,10,0.1,0.7,0.07
Gemma 3 12B,gemma_3_12b,12,dense,Digital financial services,34424,10,0.1,0.9,0.09
Gemma 3 12B,gemma_3_12b,12,dense,Economics,767282,10,0.3,0.8,0.24
Gemma 3 12B,gemma_3_12b,12,dense,Education,5921253,10,0.6,0.8,0.48
Gemma 3 12B,gemma_3_12b,12,dense,Energy,8631334,10,0.4,0.9,0.36
Gemma 3 12B,gemma_3_12b,12,dense,Environmental Science,247835,9,0.2222,0.8889,0.1975
Gemma 3 12B,gemma_3_12b,12,dense,Girls education,71707,10,0.0,0.65,0.0
Gemma 3 12B,gemma_3_12b,12,dense,Health,8504910,10,0.0,0.6,0.0
Gemma 3 12B,gemma_3_12b,12,dense,Infectious disease,469401,10,0.2,0.95,0.19
Gemma 3 12B,gemma_3_12b,12,dense,Insecticide-treated bed nets for malaria,1331,10,0.0,0.85,0.0
Gemma 3 12B,gemma_3_12b,12,dense,Malaria prevention,13463,10,0.1,0.65,0.065
Gemma 3 12B,gemma_3_12b,12,dense,Microfinance loan repayment,1341,10,0.0,0.5,0.0
Gemma 3 12B,gemma_3_12b,12,dense,Mini-grid electrification,747,10,0.0,0.9,0.0
Gemma 3 12B,gemma_3_12b,12,dense,Mobile banking,17971,10,0.0,0.8,0.0
Gemma 3 12B,gemma_3_12b,12,dense,Political Science,285942,10,0.4,0.8,0.32
Gemma 3 12B,gemma_3_12b,12,dense,Renewable energy,501950,10,0.1,0.9,0.09
Gemma 3 12B,gemma_3_12b,12,dense,Rural electrification,9391,10,0.0,1.0,0.0
Gemma 3 12B,gemma_3_12b,12,dense,School dropout,19413,10,0.1,0.85,0.085
Gemma 3 12B,gemma_3_12b,12,dense,School dropout prevention programs in rural areas,32,10,0.1,0.65,0.065
Gemma 3 12B,gemma_3_12b,12,dense,Voter turnout,10283,10,0.1,0.7,0.07
Qwen3 14B nothink,qwen3_14b_nothink,14,dense,Biometric voter registration,171,10,0.0,1.0,0.0
Qwen3 14B nothink,qwen3_14b_nothink,14,dense,Climate change,1222665,10,0.3,0.95,0.285
Qwen3 14B nothink,qwen3_14b_nothink,14,dense,Climate change adaptation in agriculture,25815,10,0.4,0.55,0.22
Qwen3 14B nothink,qwen3_14b_nothink,14,dense,Climate-smart agriculture for smallholder farmers,1406,10,0.2,0.7,0.14
Qwen3 14B nothink,qwen3_14b_nothink,14,dense,Democratic elections,48258,10,0.3,0.6,0.18
Qwen3 14B nothink,qwen3_14b_nothink,14,dense,Digital financial services,34424,10,0.1,0.85,0.085
Qwen3 14B nothink,qwen3_14b_nothink,14,dense,Economics,767282,10,0.8,0.85,0.68
Qwen3 14B nothink,qwen3_14b_nothink,14,dense,Education,5921253,10,0.8,0.95,0.76
Qwen3 14B nothink,qwen3_14b_nothink,14,dense,Energy,8631334,10,0.2,1.0,0.2
Qwen3 14B nothink,qwen3_14b_nothink,14,dense,Environmental Science,247835,9,0.0,0.9444,0.0
Qwen3 14B nothink,qwen3_14b_nothink,14,dense,Girls education,71707,10,0.3,0.75,0.225
Qwen3 14B nothink,qwen3_14b_nothink,14,dense,Health,8504910,10,0.0,0.65,0.0
Qwen3 14B nothink,qwen3_14b_nothink,14,dense,Infectious disease,469401,10,0.4,0.95,0.38
Qwen3 14B nothink,qwen3_14b_nothink,14,dense,Insecticide-treated bed nets for malaria,1331,9,0.2222,0.9444,0.2099
Qwen3 14B nothink,qwen3_14b_nothink,14,dense,Malaria prevention,13463,10,0.2,0.75,0.15
Qwen3 14B nothink,qwen3_14b_nothink,14,dense,Microfinance loan repayment,1341,10,0.1,0.6,0.06
Qwen3 14B nothink,qwen3_14b_nothink,14,dense,Mini-grid electrification,747,10,0.1,0.9,0.09
Qwen3 14B nothink,qwen3_14b_nothink,14,dense,Mobile banking,17971,10,0.1,1.0,0.1
Qwen3 14B nothink,qwen3_14b_nothink,14,dense,Political Science,285942,10,0.5,0.8,0.4
Qwen3 14B nothink,qwen3_14b_nothink,14,dense,Renewable energy,501950,10,0.2,0.8,0.16
Qwen3 14B nothink,qwen3_14b_nothink,14,dense,Rural electrification,9391,10,0.0,0.95,0.0
Qwen3 14B nothink,qwen3_14b_nothink,14,dense,School dropout,19413,10,0.1,0.55,0.055
Qwen3 14B nothink,qwen3_14b_nothink,14,dense,School dropout prevention programs in rural areas,32,10,0.1,0.5,0.05
Qwen3 14B nothink,qwen3_14b_nothink,14,dense,Voter turnout,10283,10,0.2,0.9,0.18
Mistral Small 3.2,mistral_small_32_24b,24,dense,Biometric voter registration,171,10,0.0,0.8,0.0
Mistral Small 3.2,mistral_small_32_24b,24,dense,Climate change,1222665,9,0.7778,0.7778,0.6049
Mistral Small 3.2,mistral_small_32_24b,24,dense,Climate change adaptation in agriculture,25815,9,0.4444,0.6667,0.2963
Mistral Small 3.2,mistral_small_32_24b,24,dense,Climate-smart agriculture for smallholder farmers,1406,4,0.75,0.75,0.5625
Mistral Small 3.2,mistral_small_32_24b,24,dense,Democratic elections,48258,10,0.8,0.6,0.48
Mistral Small 3.2,mistral_small_32_24b,24,dense,Digital financial services,34424,10,0.1,0.9,0.09
Mistral Small 3.2,mistral_small_32_24b,24,dense,Economics,767282,10,0.6,0.85,0.51
Mistral Small 3.2,mistral_small_32_24b,24,dense,Education,5921253,10,0.8,0.8,0.64
Mistral Small 3.2,mistral_small_32_24b,24,dense,Energy,8631334,10,0.6,0.8,0.48
Mistral Small 3.2,mistral_small_32_24b,24,dense,Environmental Science,247835,10,0.5,1.0,0.5
Mistral Small 3.2,mistral_small_32_24b,24,dense,Girls education,71707,10,0.4,0.7,0.28
Mistral Small 3.2,mistral_small_32_24b,24,dense,Health,8504910,10,0.2,0.8,0.16
Mistral Small 3.2,mistral_small_32_24b,24,dense,Infectious disease,469401,10,0.4,1.0,0.4
Mistral Small 3.2,mistral_small_32_24b,24,dense,Insecticide-treated bed nets for malaria,1331,10,0.1,0.95,0.095
Mistral Small 3.2,mistral_small_32_24b,24,dense,Malaria prevention,13463,10,0.3,0.8,0.24
Mistral Small 3.2,mistral_small_32_24b,24,dense,Microfinance loan repayment,1341,10,0.4,0.6,0.24
Mistral Small 3.2,mistral_small_32_24b,24,dense,Mini-grid electrification,747,9,0.0,0.8333,0.0
Mistral Small 3.2,mistral_small_32_24b,24,dense,Mobile banking,17971,10,0.0,0.95,0.0
Mistral Small 3.2,mistral_small_32_24b,24,dense,Political Science,285942,10,1.0,0.9,0.9
Mistral Small 3.2,mistral_small_32_24b,24,dense,Renewable energy,501950,10,0.5,0.95,0.475
Mistral Small 3.2,mistral_small_32_24b,24,dense,Rural electrification,9391,10,0.1,0.95,0.095
Mistral Small 3.2,mistral_small_32_24b,24,dense,School dropout,19413,9,0.3333,0.8889,0.2963
Mistral Small 3.2,mistral_small_32_24b,24,dense,School dropout prevention programs in rural areas,32,10,0.1,0.5,0.05
Mistral Small 3.2,mistral_small_32_24b,24,dense,Voter turnout,10283,10,0.6,0.85,0.51
Gemma 3 27B,gemma_3_27b,27,dense,Biometric voter registration,171,10,0.0,0.75,0.0
Gemma 3 27B,gemma_3_27b,27,dense,Climate change,1222665,10,0.3,0.85,0.255
Gemma 3 27B,gemma_3_27b,27,dense,Climate change adaptation in agriculture,25815,10,0.4,0.65,0.26
Gemma 3 27B,gemma_3_27b,27,dense,Climate-smart agriculture for smallholder farmers,1406,10,0.1,0.7,0.07
Gemma 3 27B,gemma_3_27b,27,dense,Democratic elections,48258,10,0.4,0.6,0.24
Gemma 3 27B,gemma_3_27b,27,dense,Digital financial services,34424,10,0.0,0.9,0.0
Gemma 3 27B,gemma_3_27b,27,dense,Economics,767282,10,0.8,0.9,0.72
Gemma 3 27B,gemma_3_27b,27,dense,Education,5921253,10,0.8,0.9,0.72
Gemma 3 27B,gemma_3_27b,27,dense,Energy,8631334,10,0.2,0.9,0.18
Gemma 3 27B,gemma_3_27b,27,dense,Environmental Science,247835,9,0.7778,0.7222,0.5617
Gemma 3 27B,gemma_3_27b,27,dense,Girls education,71707,10,0.0,0.85,0.0
Gemma 3 27B,gemma_3_27b,27,dense,Health,8504910,10,0.4,0.85,0.34
Gemma 3 27B,gemma_3_27b,27,dense,Infectious disease,469401,10,0.2,0.95,0.19
Gemma 3 27B,gemma_3_27b,27,dense,Insecticide-treated bed nets for malaria,1331,10,0.1,0.95,0.095
Gemma 3 27B,gemma_3_27b,27,dense,Malaria prevention,13463,10,0.2,0.85,0.17
Gemma 3 27B,gemma_3_27b,27,dense,Microfinance loan repayment,1341,10,0.2,0.7,0.14
Gemma 3 27B,gemma_3_27b,27,dense,Mini-grid electrification,747,10,0.1,0.7,0.07
Gemma 3 27B,gemma_3_27b,27,dense,Mobile banking,17971,10,0.0,1.0,0.0
Gemma 3 27B,gemma_3_27b,27,dense,Political Science,285942,10,0.9,0.7,0.63
Gemma 3 27B,gemma_3_27b,27,dense,Renewable energy,501950,10,0.2,0.9,0.18
Gemma 3 27B,gemma_3_27b,27,dense,Rural electrification,9391,9,0.0,0.8889,0.0
Gemma 3 27B,gemma_3_27b,27,dense,School dropout,19413,10,0.1,0.8,0.08
Gemma 3 27B,gemma_3_27b,27,dense,School dropout prevention programs in rural areas,32,10,0.0,0.7,0.0
Gemma 3 27B,gemma_3_27b,27,dense,Voter turnout,10283,10,0.0,0.8,0.0
Gemma 4 31B,gemma_4_31b,31,dense,Biometric voter registration,171,9,0.0,1.0,0.0
Gemma 4 31B,gemma_4_31b,31,dense,Climate change,1222665,10,0.6,1.0,0.6
Gemma 4 31B,gemma_4_31b,31,dense,Climate change adaptation in agriculture,25815,10,0.5,0.85,0.425
Gemma 4 31B,gemma_4_31b,31,dense,Climate-smart agriculture for smallholder farmers,1406,10,0.3,0.95,0.285
Gemma 4 31B,gemma_4_31b,31,dense,Democratic elections,48258,10,0.5,0.8,0.4
Gemma 4 31B,gemma_4_31b,31,dense,Digital financial services,34424,9,0.8889,1.0,0.8889
Gemma 4 31B,gemma_4_31b,31,dense,Economics,767282,10,0.9,0.95,0.855
Gemma 4 31B,gemma_4_31b,31,dense,Education,5921253,10,0.6,1.0,0.6
Gemma 4 31B,gemma_4_31b,31,dense,Energy,8631334,10,0.4,0.95,0.38
Gemma 4 31B,gemma_4_31b,31,dense,Environmental Science,247835,10,0.4,0.95,0.38
Gemma 4 31B,gemma_4_31b,31,dense,Girls education,71707,10,0.1,0.75,0.075
